label_type,label,count,mean_z,std_z,median_z,q90_z,q95_z,residual_l1,residual_l2,positive_residual_mass,negative_residual_mass,js_divergence,tail_prob_z_gt_1,tail_prob_z_gt_2,tail_prob_z_gt_3,tail_prob_z_gt_4,tail_prob_z_gt_5
gap_mod30,14,8401,1.1759519055782734,0.5430009435457261,1.0232973869732507,1.243153975775026,3.0490138039894883,1.6515783203803378,1.901346859518805,0.8257891601901691,-0.825789160190169,0.4651329162692089,0.6503987620521366,0.055588620402333054,0.054755386263540054,0.002975836209975003,0.0026187358647780028
gap_mod30,16,5920,1.3416861925986137,0.5822234985426796,1.1677080439838479,1.4437951241964053,3.2227670397707904,1.6587721672863447,1.8301980600170429,0.8293860836431723,-0.8293860836431726,0.4715403162324881,1.0,0.06368243243243243,0.0625,0.004054054054054054,0.0033783783783783786
gap_mod30,18,10107,1.4710608036025588,0.5624337054159645,1.3114452563209371,1.5795435758402765,3.3254278582306065,1.6821708352384184,1.8093928608756107,0.8410854176192094,-0.8410854176192092,0.48376782996894263,1.0,0.05758385277530424,0.0542198476303552,0.005936479667557139,0.0050460077174235675
gap_mod30,2,16082,0.32686221742927013,0.6304796805919491,0.14700326413294215,0.19857034378648641,2.2730668101243023,1.7558383212705144,3.3380015198918773,0.8779191606352572,-0.8779191606352571,0.5143034607728674,0.07542594204700907,0.07530157940554658,0.004352692451187664,0.0038552418853376445,0.000373087924387514
gap_mod30,20,4874,1.6332245127642562,0.5924574707056393,1.4603396004870421,1.767001376208161,3.486486152775093,1.7033165348712884,1.7543148448128636,0.8516582674356442,-0.8516582674356442,0.49345680402038816,1.0,0.0689372178908494,0.06011489536315141,0.008617152236356175,0.005334427574887156
gap_mod30,22,4380,1.755596920100803,0.5435957491237148,1.6024055159889712,1.907540072920438,2.650594396507393,1.7167514327800544,1.7726972811962998,0.8583757163900271,-0.8583757163900273,0.502676698589982,1.0,0.07853881278538813,0.048401826484018265,0.01004566210045662,0.0043378995433789955
gap_mod30,24,5890,1.9217743186850105,0.5940424287813418,1.7430772073283216,2.077182645788956,3.770382171423847,1.7509292357117057,1.7901120109788178,0.875464617855853,-0.8754646178558528,0.5202153728601436,1.0,0.12461799660441426,0.06281833616298811,0.02037351443123939,0.0045840407470288625
gap_mod30,26,2599,2.0640210275178164,0.5738656314465622,1.8864008956805747,2.2418454844513103,3.906254949244097,1.774684792750343,1.8185502770628479,0.8873423963751715,-0.8873423963751716,0.5357727531011383,1.0,0.24355521354367063,0.06464024624855713,0.03039630627164294,0.0026933435936898806
gap_mod30,28,2727,2.210224880058604,0.5715745162640702,2.0303449896638046,2.4140525972700453,4.03556292310846,1.7856216667422007,1.8292298280362331,0.8928108333711005,-0.8928108333711005,0.5444982025653355,1.0,0.6138613861386139,0.06490649064906491,0.06050605060506051,0.003667033370003667
gap_mod30,4,16037,0.4924160193373143,0.6552346243421326,0.2945596048357098,0.4114338857518538,2.4199327648254703,1.6768545779064816,3.007517918840662,0.8384272889532409,-0.8384272889532409,0.4799531428549405,0.08112489867182142,0.08087547546299183,0.006360291825154331,0.004801396769969445,0.000311779011036977
gap_mod30,6,26381,0.6192214223855018,0.6239752244096891,0.44084040218119414,0.5767085400463579,2.5370332658890415,1.639315455317387,2.681823866798118,0.8196577276586937,-0.8196577276586936,0.46421006352430716,0.07096016072173154,0.07012622720897616,0.008111898714984269,0.004700352526439483,0.0009097456502786096
gap_mod30,8,11049,0.7645371873059635,0.6052443472316891,0.5870158708385109,0.7556969568182077,2.679353382784983,1.6335944089475432,2.3862048395426383,0.8167972044737718,-0.8167972044737716,0.4565806106186019,0.07321929586387908,0.06959905873834736,0.011765770657978097,0.00325821341297855,0.0010860711376595167
transition_mod30,1->1,522,2.3351928204237913,0.5660498178641578,2.168856879406202,2.510722965111962,4.206411862082075,1.8390744290601884,1.9266018465205168,0.9195372145300943,-0.9195372145300946,0.5736447538366893,1.0,1.0,0.06321839080459771,0.05747126436781609,0.0019157088122605363
transition_mod30,1->11,3973,0.91176774260819,0.6195481997690486,0.7339766406979137,0.9293313125169643,2.81086972829205,1.6313758227067472,2.1451280891379834,0.8156879113533738,-0.815687911353374,0.45339134697741645,0.0843191542914674,0.06594512962496854,0.020891014346841177,0.0055373772967530835,0.003020387616410773
transition_mod30,1->13,3013,1.082098688054462,0.6381015920488039,0.8789221127817456,1.1726076076972152,2.9862386567479096,1.6320719851165573,1.9939230694535313,0.8160359925582787,-0.8160359925582789,0.4588742236190422,0.17324925323597742,0.08065051443743777,0.04746100232326585,0.002655160969133754,0.0019913707268503153
transition_mod30,1->17,2143,1.3247080812481988,0.5276453589101263,1.1668399588798104,1.437582167085193,3.2076240388075465,1.665442121878119,1.843514534907144,0.8327210609390596,-0.8327210609390595,0.475237331317325,1.0,0.059729351376574896,0.05832944470368642,0.0009332711152589828,0.0004666355576294914
transition_mod30,1->19,1578,1.4621974394875064,0.5129128151902503,1.3125391439500262,1.586528796867098,3.312189396129595,1.6889013771034989,1.801905359204932,0.8444506885517495,-0.8444506885517495,0.4862875009527822,1.0,0.055133079847908745,0.051964512040557666,0.0019011406844106464,0.0019011406844106464
transition_mod30,1->23,1290,1.7547471311925134,0.5750683078482487,1.6005257569965894,1.8887082229467491,2.269852276639558,1.732019141303143,1.7863696585962787,0.8660095706515718,-0.8660095706515718,0.5092357679788135,1.0,0.07441860465116279,0.04573643410852713,0.012403100775193798,0.006201550387596899
transition_mod30,1->29,847,2.192235709760212,0.5153175713883642,2.0350168278801726,2.394208750686806,4.00987442473514,1.7912992683684001,1.819008420653,0.8956496341842001,-0.8956496341842005,0.5478924340914392,1.0,0.6174734356552538,0.0602125147579693,0.05430932703659976,0.0011806375442739079
transition_mod30,1->7,5174,0.60493726216706,0.5906810502037649,0.4414353450575943,0.5658622947023741,2.5228682127173245,1.6413336650645236,2.6676097836195205,0.8206668325322619,-0.820666832532262,0.4639285109346696,0.06532663316582915,0.06436026285272517,0.005991495941244685,0.0030923850019327404,0.0005798221878623889
transition_mod30,11->1,1049,1.6011321589960887,0.5307173092362691,1.4587152106359318,1.7234955407796688,2.007473679098474,1.726243596764711,1.800872100197774,0.8631217983823556,-0.8631217983823555,0.5046314206484864,1.0,0.05052430886558627,0.04671115347950429,0.00667302192564347,0.004766444232602479
transition_mod30,11->11,563,2.348226086904652,0.577820825491805,2.1729179968049874,2.575907191998688,4.1753638910534585,1.8306886613261117,1.8428047185061556,0.915344330663056,-0.9153443306630561,0.5687167675492034,1.0,1.0,0.06039076376554174,0.056838365896980464,0.007104795737122558
transition_mod30,11->13,5355,0.3322865732741123,0.6483035677133113,0.14721652096444007,0.2004318633318077,2.2727465035160677,1.757508762820927,3.332099975157399,0.8787543814104636,-0.8787543814104634,0.5145547749161757,0.07675070028011205,0.07675070028011205,0.005415499533146592,0.004668534080298786,0.0007469654528478057
transition_mod30,11->17,4017,0.6352705534856564,0.658118900056423,0.44095356192090357,0.5912264670151434,2.5501259602616786,1.6433686416379356,2.662539356011311,0.8216843208189679,-0.8216843208189678,0.4675072717138491,0.07742096091610655,0.07692307692307693,0.008961911874533234,0.005476723923325865,0.0009957679860592482
transition_mod30,11->19,3001,0.7724151810047284,0.6153785529229824,0.5858069816414995,0.7536337635411918,2.684504270755435,1.648845695349475,2.4171903110061437,0.8244228476747376,-0.8244228476747377,0.4623456033710005,0.07764078640453183,0.07497500833055648,0.012329223592135955,0.002999000333222259,0.0003332222592469177
transition_mod30,11->23,2163,1.0576890499632745,0.5873539462142076,0.8782641181632119,1.1155918838292256,2.949890053954606,1.6410959344166676,1.9989329205497137,0.820547967208334,-0.8205479672083339,0.4612623432842686,0.16412390198797966,0.06981044845122515,0.03791030975496995,0.002311604253351826,0.002311604253351826
transition_mod30,11->29,1587,1.456566917610084,0.5501623019468246,1.30804924278751,1.5529678710056842,2.06225053816275,1.6985529142858378,1.8505258187576625,0.8492764571429191,-0.849276457142919,0.49252558015998155,1.0,0.05103969754253308,0.04914933837429111,0.00630119722747322,0.005671077504725898
transition_mod30,11->7,913,2.044398690780684,0.5378390749301936,1.8817384648327833,2.195139655884127,3.8940196664165936,1.7850272010027637,1.8674599122300821,0.8925136005013821,-0.892513600501382,0.5420250579970101,1.0,0.22782037239868566,0.05914567360350493,0.025191675794085433,0.001095290251916758
transition_mod30,13->1,1475,1.4756426625686199,0.5768965304328061,1.3132944853005966,1.5481249291522077,3.3377484952500183,1.7002430397493382,1.8118548177129181,0.8501215198746692,-0.8501215198746692,0.4926410281517182,1.0,0.061016949152542375,0.0576271186440678,0.006779661016949152,0.006101694915254237
transition_mod30,13->11,949,2.220571726128988,0.6050366312230147,2.02955962035982,2.419250584458907,4.042264123940057,1.7956727114183624,1.8345387021482928,0.8978363557091813,-0.8978363557091813,0.5487954700011068,1.0,0.6048472075869337,0.06533192834562697,0.06217070600632244,0.005268703898840885
transition_mod30,13->13,556,2.358270646137294,0.5631776988856471,2.177977336962494,2.620988522376352,4.153270236717788,1.8212795061182476,1.8060621208528567,0.9106397530591238,-0.9106397530591239,0.5649300153760783,1.0,1.0,0.07553956834532374,0.05935251798561151,0.0035971223021582736
transition_mod30,13->17,5336,0.5078869994366224,0.6809909886050848,0.2945261053627938,0.4329603253032338,2.433247365897537,1.6739275671121938,2.985784313689397,0.8369637835560969,-0.8369637835560968,0.478378357262811,0.087143928035982,0.08676911544227886,0.007871064467766116,0.005622188905547227,0.0001874062968515742
transition_mod30,13->19,3988,0.6358277333904812,0.6699836955322402,0.4410194361128969,0.5838481816672078,2.541932763226062,1.6423466038540246,2.6997085616229537,0.8211733019270122,-0.8211733019270128,0.4688647100305174,0.07622868605817452,0.0757271815446339,0.01053159478435306,0.007271815446339017,0.0015045135406218655
transition_mod30,13->23,3002,0.9193920876029449,0.6283790573903273,0.732332216785931,0.9372743929126026,2.8186735076631417,1.6364662814176016,2.164291424947627,0.8182331407088009,-0.818233140708801,0.45924533319477123,0.08461025982678215,0.07195203197868089,0.021652231845436375,0.004663557628247834,0.0029980013324450365
transition_mod30,13->29,2208,1.3535123118780674,0.6018751810563139,1.1698880830427114,1.4532818467169846,3.239856896661585,1.6563806724132204,1.8058218876299632,0.8281903362066103,-0.8281903362066103,0.46869147643940123,1.0,0.06702898550724638,0.06521739130434782,0.005434782608695652,0.004528985507246377
transition_mod30,13->7,1139,1.9257067590144796,0.5905703509064387,1.7467107624485054,2.077818163072299,3.782951321957194,1.7542708168839074,1.7434170367873238,0.8771354084419537,-0.877135408441954,0.5234052696299617,1.0,0.12291483757682177,0.0649692712906058,0.021949078138718173,0.003511852502194908
transition_mod30,17->1,2429,1.1728622129968995,0.5523623779890973,1.0222112044735407,1.2323158692333998,3.0409762973727243,1.6548808145143594,1.9147848483805996,0.8274404072571798,-0.82744040725718,0.46941689633282324,0.6475916014820914,0.0531082750102923,0.05269658295594895,0.004528612597776863,0.004116920543433511
transition_mod30,17->11,1087,1.9183155657147484,0.5871233949132247,1.7407384709558715,2.079049236755793,3.7518124749117634,1.7636628039562137,1.8088674810510093,0.8818314019781068,-0.8818314019781068,0.527139022946942,1.0,0.12235510579576817,0.061637534498620056,0.019319227230910764,0.004599816007359705
transition_mod30,17->13,813,2.0523614169112387,0.5186183668916342,1.8840443985259274,2.2487115686217374,3.899077127311613,1.7727132395704364,1.8164194070209505,0.8863566197852184,-0.8863566197852183,0.533919654316025,1.0,0.2656826568265683,0.06027060270602706,0.02952029520295203,0.0
transition_mod30,17->17,544,2.361520399127892,0.5836802474642395,2.1792289838148555,2.5806784057169683,4.21051855765723,1.824135087983273,1.8312072559640324,0.9120675439916368,-0.9120675439916368,0.564952428151595,1.0,1.0,0.07169117647058823,0.06066176470588235,0.0055147058823529415
transition_mod30,17->19,5383,0.3118085133565558,0.5942763066627115,0.14678729689814032,0.19277996955687732,2.259963502802962,1.759681235894679,3.356601707421798,0.8798406179473395,-0.8798406179473397,0.5172178232627189,0.07003529630317666,0.07003529630317666,0.0031580902842281255,0.002600780234070221,0.0
transition_mod30,17->23,4013,0.6100252346696513,0.596704439009507,0.4409257878536512,0.5699156429138997,2.5231739355203033,1.6424640171013982,2.6979721883659478,0.8212320085506994,-0.821232008550699,0.4662427032813457,0.06827809618739097,0.06753052579117867,0.00722651383005233,0.00323947171692001,0.00074757039621231
transition_mod30,17->29,2986,1.063473578429833,0.6056345008418375,0.8778587279275931,1.1085715619349832,2.9587185521290325,1.6424381069636584,2.006451266973448,0.8212190534818294,-0.8212190534818294,0.4623288118673289,0.16242464835900872,0.07200267916945746,0.039852645679839246,0.0026791694574681848,0.002344273275284662
transition_mod30,17->7,1387,1.6724415309005054,0.6496892254350849,1.4639150956538043,1.9030485420411507,3.544698902540958,1.6915451794256462,1.712451383774192,0.8457725897128232,-0.8457725897128234,0.49021936233687985,1.0,0.09012256669069935,0.07498197548666186,0.008651766402307137,0.005767844268204758
transition_mod30,19->1,2970,1.0648467825611732,0.6170726122733224,0.878350032781714,1.1324798058671295,2.9569313213446256,1.6297314255082413,1.9952663341255603,0.8148657127541206,-0.8148657127541208,0.4595763569027389,0.1622895622895623,0.0707070707070707,0.040740740740740744,0.004377104377104377,0.00404040404040404
transition_mod30,19->11,1799,1.7640924124435347,0.5375319079457502,1.6094196546027255,1.9369665410167383,3.1757741728041537,1.7154685168876005,1.7229073997565445,0.8577342584438004,-0.8577342584438004,0.5023855630450044,1.0,0.08449138410227905,0.05058365758754864,0.008337965536409116,0.0038910505836575876
transition_mod30,19->13,1090,1.9375558575792138,0.6151789573303208,1.7393944652896374,2.106564087769601,3.799376465573937,1.7478669842962415,1.8270676725972401,0.8739334921481207,-0.8739334921481208,0.5207737670492358,1.0,0.13761467889908258,0.07155963302752294,0.026605504587155965,0.003669724770642202
transition_mod30,19->17,931,2.216044074819017,0.584598387853548,2.027425622576775,2.433557350983829,4.051180978957302,1.7975003377209933,1.8388259122598052,0.8987501688604965,-0.898750168860497,0.5506332623571984,1.0,0.6197636949516648,0.06874328678839957,0.0644468313641246,0.004296455424274973
transition_mod30,19->19,545,2.332140512882656,0.5714384942628211,2.172631115515075,2.5415358631649303,3.2520971279691104,1.829685966799242,1.8491842670671672,0.9148429833996211,-0.9148429833996211,0.5678634423159347,1.0,1.0,0.05137614678899083,0.045871559633027525,0.007339449541284404
transition_mod30,19->23,5324,0.486361344823958,0.6411788851400242,0.29450744343092927,0.40207808155213887,2.4105151591425034,1.68482987830152,3.0215346397176543,0.8424149391507602,-0.84241493915076,0.48481728569353466,0.07963936889556725,0.07945154019534185,0.004507888805409466,0.004132231404958678,0.0003756574004507889
transition_mod30,19->29,3946,0.9181716068379308,0.6211749668288027,0.735357255405505,0.9441447080359522,2.807482579410932,1.6174013510030587,2.1125059570752,0.8087006755015295,-0.8087006755015295,0.4497638191263312,0.08768373035985809,0.06893056259503294,0.02382159148504815,0.00481500253421186,0.0020273694880892043
transition_mod30,19->7,1988,1.478185602003141,0.5948777988724537,1.3127743461971535,1.5792570194578583,3.3203385505160923,1.6802840913361845,1.8204010581460142,0.8401420456680924,-0.8401420456680926,0.48357828837848976,1.0,0.059356136820925554,0.053822937625754526,0.01006036217303823,0.007545271629778672
transition_mod30,23->1,4028,0.7711683774715739,0.6176969981890472,0.5882630311460986,0.7597005213255206,2.6854237402507106,1.6361136730068064,2.3589920832376152,0.8180568365034034,-0.8180568365034033,0.45795025421034496,0.07621648460774579,0.07224428997020854,0.01166832174776564,0.0029791459781529296,0.0014895729890764648
transition_mod30,23->11,1933,1.4616310410585482,0.516383959808626,1.313168427172843,1.6038371485292424,2.262947051217791,1.6665122765734668,1.7778423054267316,0.8332561382867335,-0.8332561382867335,0.47947035903157226,1.0,0.05431971029487843,0.04966373512674599,0.0031039834454216243,0.002586652871184687
transition_mod30,23->13,1414,1.6172551491825056,0.560932764631006,1.4595612309645665,1.7489298222960823,3.4699298886706256,1.7055930169643736,1.745873488593093,0.852796508482187,-0.852796508482187,0.49674876893298753,1.0,0.06152758132956153,0.05374823196605375,0.009193776520509194,0.004243281471004243
transition_mod30,23->17,1107,1.9172539420431771,0.6010730061899868,1.7454784239220091,2.063219804237447,3.735612157717898,1.7587936600835117,1.7767968857356875,0.8793968300417558,-0.879396830041756,0.522249357549713,1.0,0.12737127371273713,0.056910569105691054,0.02168021680216802,0.004516711833785004
transition_mod30,23->19,873,2.0954007031926727,0.6526119096815451,1.8938244364003338,2.308430595181385,3.9453913815903054,1.775162741615708,1.7850630150868678,0.8875813708078543,-0.8875813708078542,0.5377572280499281,1.0,0.23940435280641467,0.07445589919816724,0.03665521191294387,0.006872852233676976
transition_mod30,23->23,498,2.352653268542489,0.5899147886450725,2.168922233538121,2.594894001297128,4.184331140287118,1.8304213314583446,1.8632318829630024,0.9152106657291726,-0.9152106657291726,0.5677047251114745,1.0,1.0,0.060240963855421686,0.05823293172690763,0.004016064257028112
transition_mod30,23->29,5300,0.6240478465619286,0.6334104443983247,0.44104847258038493,0.5854628450857956,2.5445109097388774,1.6337979966572804,2.6660856329205425,0.8168989983286402,-0.8168989983286407,0.46070152252878727,0.07245283018867925,0.0709433962264151,0.009433962264150943,0.005471698113207547,0.0011320754716981133
transition_mod30,23->7,3448,1.1806297708272253,0.5526807848397083,1.0235957539738223,1.2526815974531138,3.054817374104775,1.6495235193735631,1.8978351156176265,0.8247617596867816,-0.8247617596867817,0.4642143085885331,0.6496519721577726,0.05771461716937355,0.05626450116009281,0.002900232018561485,0.0026102088167053363
transition_mod30,29->1,5342,0.33614286879332433,0.6469676284722695,0.14694027211267602,0.20258481133200043,2.281365879186701,1.7572912542849284,3.326529456898259,0.8786456271424643,-0.8786456271424642,0.5152045878470195,0.07918382628229127,0.07918382628229127,0.004492699363534257,0.004305503556720329,0.00037439161362785476
transition_mod30,29->11,2967,1.0532594854017314,0.6002494721914176,0.8773872379207251,1.1165370619956911,2.9344303360104207,1.6383982790884883,2.0156454860307362,0.8191991395442441,-0.8191991395442445,0.4608263778412399,0.16245365689248398,0.06639703404111898,0.03404111897539602,0.003370407819346141,0.002696326255476913
transition_mod30,29->13,2524,1.1725349419894344,0.5200406832400151,1.0239312699251695,1.2409741500560463,3.0509915491098285,1.6568571812637671,1.8937295317178604,0.8284285906318836,-0.8284285906318838,0.46734908917484574,0.654120443740095,0.055071315372424726,0.05467511885895404,0.001584786053882726,0.0011885895404120444
transition_mod30,29->17,1546,1.4932429351975685,0.6179223327028578,1.3102244164903332,1.5807016066901713,3.377508090776254,1.6952654017202737,1.8045787421532162,0.8476327008601371,-0.847632700860137,0.4926710544634434,1.0,0.06532988357050452,0.0646830530401035,0.0071151358344113845,0.00646830530401035
transition_mod30,29->19,1024,1.6350326719951394,0.6103011236329705,1.4597538717828171,1.7313269450345965,3.4770824035227585,1.7261531064061872,1.7857927981329764,0.8630765532030935,-0.8630765532030935,0.5046897591824226,1.0,0.0693359375,0.0625,0.009765625,0.0068359375
transition_mod30,29->23,742,1.8795813197057507,0.517528807530654,1.7452059350220903,1.9812056252667436,2.364184065148515,1.7826390747614416,1.8329933187775072,0.891319537380721,-0.8913195373807209,0.5354938280062717,1.0,0.09299191374663072,0.04582210242587601,0.01078167115902965,0.005390835579514825
transition_mod30,29->29,462,2.314560358176506,0.508505018439768,2.171989651462794,2.5118122242205096,2.879634504486458,1.8341770555976762,1.8582160367981075,0.9170885277988384,-0.9170885277988385,0.5697168610102259,1.0,1.0,0.04329004329004329,0.04112554112554113,0.004329004329004329
transition_mod30,29->7,4020,0.752011741266891,0.5844483049048635,0.5865566568026639,0.7552173271385799,2.6640234928150046,1.6232735524011448,2.391090125619976,0.8116367762005725,-0.8116367762005725,0.4550374109514618,0.06691542288557215,0.06293532338308458,0.011442786069651741,0.0037313432835820895,0.0012437810945273632
transition_mod30,7->1,725,1.9471398355592824,0.6359849917395939,1.7414159015226407,2.1456391017972902,3.8056706395437625,1.7536376654658372,1.7754680462635648,0.8768188327329186,-0.8768188327329188,0.5236446046778046,1.0,0.1393103448275862,0.07448275862068965,0.01793103448275862,0.006896551724137931
transition_mod30,7->11,5377,0.48305800135315974,0.6425414919168138,0.2946173646567139,0.4001524479809758,2.4165329332004832,1.6764600541491383,3.015340087332232,0.8382300270745693,-0.8382300270745693,0.48045646839998973,0.07662265203645155,0.07643667472568347,0.006695183187651107,0.004649432769202157,0.0003719546215361726
transition_mod30,7->13,3889,0.6075308001745693,0.5949705893937507,0.4396751978718469,0.5627379152697862,2.526603697157212,1.6476535037127138,2.7084784171309684,0.8238267518563569,-0.8238267518563572,0.46989650587432114,0.06711236821805092,0.06659809719722294,0.006685523270763692,0.0038570326562098224,0.0005142710208279763
transition_mod30,7->17,3018,0.926861105297847,0.6448573315326664,0.73384144923651,0.9428300855942262,2.845021350173039,1.6330429027152091,2.149786265709254,0.8165214513576048,-0.816521451357605,0.45708377111850146,0.08880053015241882,0.07388999337309476,0.027170311464546057,0.004638833664678595,0.0023194168323392977
transition_mod30,7->19,2201,1.0539264161748818,0.6146716931800145,0.8777792755426661,1.0819007829460145,2.961880729216419,1.6516137432268685,2.0238490040692527,0.8258068716134344,-0.8258068716134344,0.4667941845411414,0.15447523852794184,0.06587914584279873,0.039981826442526125,0.005452067242162653,0.00408905043162199
transition_mod30,7->23,1569,1.3482330512696812,0.6231688896380466,1.16562935625673,1.4365323636764522,3.2340609007916554,1.664114966694835,1.8484152418220685,0.8320574833474175,-0.8320574833474177,0.4768075614630166,1.0,0.06437221159974506,0.06437221159974506,0.006373486297004461,0.0057361376673040155
transition_mod30,7->29,1291,1.7446076381233588,0.5188735642388802,1.5984810274307966,1.867119900985216,2.579701548316123,1.7255011001822755,1.8333955498100403,0.8627505500911379,-0.8627505500911379,0.509440827966746,1.0,0.07436096049573973,0.048024786986831915,0.010069713400464756,0.003098373353989156
transition_mod30,7->7,555,2.3139580245691644,0.5055024778599785,2.1691677067790494,2.4693871743374167,2.8869169340394736,1.8312428369424916,1.8862416298892348,0.9156214184712458,-0.915621418471246,0.5711362391553696,1.0,1.0,0.04684684684684685,0.04504504504504504,0.0036036036036036037
